speaker,utterance,思考系_役割,思考系_スコア,対人関係系_役割,対人関係系_スコア,行動系_役割,行動系_スコア
H3M,"Utterance(participant='H3M', tokens=[Token(word='何', pos=None, mor=None, gra=None), Token(word=',', pos=None, mor=None, gra=None), Token(word='これは', pos=None, mor=None, gra=None), Token(word='?', pos=None, mor=None, gra=None)], time_marks=(14000, 17481), tiers={'H3M': '何, これは ? \x1514000_17481\x15', '%ort': 'nani „ kore wa ?'})",スペシャリスト,0.5549152493476868,不明,0.5337182283401489,不明,0.46378639340400696
L3F,"Utterance(participant='L3F', tokens=[Token(word='.', pos=None, mor=None, gra=None)], time_marks=(17480, 19351), tiers={'L3F': '&=laugh . \x1517480_19351\x15', '%ort': '&=laugh .'})",不明,0.5094814300537109,不明,0.45537710189819336,不明,0.4282216429710388
H3M,"Utterance(participant='H3M', tokens=[Token(word='さ始まりました', pos=None, mor=None, gra=None), Token(word=',', pos=None, mor=None, gra=None), Token(word='異性に求める条件', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(19350, 22315), tiers={'H3M': 'さ始まりました, 異性に求める条件 . \x1519350_22315\x15', '%ort': 'saa hajimarimashita „ isee ni motomeru jooken .'})",スペシャリスト,0.5785006880760193,リソース探究者,0.556554913520813,不明,0.5390414595603943
L3F,"Utterance(participant='L3F', tokens=[Token(word='司会者', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(22313, 25350), tiers={'L3F': '&=laugh 司会者 . \x1522313_25350\x15', '%ort': '&=laugh shikaisha .'})",不明,0.49914711713790894,不明,0.48938247561454773,不明,0.4003962278366089
K3F,"Utterance(participant='K3F', tokens=[Token(word='どうぞ', pos=None, mor=None, gra=None), Token(word='司会者', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(25350, 27621), tiers={'K3F': 'どうぞ@g 司会者 . \x1525350_27621\x15', '%ort': 'doozo shikaisha .'})",不明,0.5401583909988403,不明,0.5156855583190918,不明,0.44098973274230957
H3M,"Utterance(participant='H3M', tokens=[Token(word='isee', pos=None, mor=None, gra=None), Token(word='ni', pos=None, mor=None, gra=None), Token(word='motomeru', pos=None, mor=None, gra=None), Token(word='jooken', pos=None, mor=None, gra=None), Token(word='nani', pos=None, mor=None, gra=None), Token(word='?', pos=None, mor=None, gra=None)], time_marks=(27621, 31302), tiers={'H3M': 'isee ni motomeru jooken nani ? \x1527621_31302\x15', '%ort': '異性に求める条件何 ?'})",スペシャリスト,0.564879298210144,不明,0.5488088130950928,不明,0.491891086101532
H3M,"Utterance(participant='H3M', tokens=[Token(word='eq', pos=None, mor=None, gra=None), Token(word='?', pos=None, mor=None, gra=None)], time_marks=None, tiers={'H3M': 'eq ?', '%ort': 'えっ ?'})",スペシャリスト,0.572455883026123,不明,0.5261882543563843,不明,0.4479646682739258
G3M,"Utterance(participant='G3M', tokens=[Token(word='えっ', pos=None, mor=None, gra=None), Token(word='どうぞ', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(31301, 32923), tiers={'G3M': 'えっ どうぞ@g . \x1531301_32923\x15', '%ort': 'eq doozo .'})",不明,0.5268123745918274,不明,0.5201739072799683,不明,0.4550797939300537
H3M,"Utterance(participant='H3M', tokens=[Token(word='はい', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(31301, 32923), tiers={'H3M': '<はいはい> [/] はい . \x1531301_32923\x15', '%ort': 'hai [/] hai [/] hai .'})",スペシャリスト,0.563462495803833,不明,0.5194850564002991,不明,0.45129483938217163
G3M,"Utterance(participant='G3M', tokens=[Token(word='さっき僕らは語ったからね', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=None, tiers={'G3M': 'さっき僕らは語ったからね .', '%ort': 'sakki bokura katatta kara ne .'})",不明,0.5398217439651489,不明,0.48860785365104675,不明,0.4299185574054718
G3M,"Utterance(participant='G3M', tokens=[Token(word='散々語ったからね', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=None, tiers={'G3M': '散々語ったからね .', '%ort': 'sanzan katatta kara ne .'})",スペシャリスト,0.5554774403572083,不明,0.4915606379508972,不明,0.44004613161087036
H3M,"Utterance(participant='H3M', tokens=[Token(word='散々', pos=None, mor=None, gra=None), Token(word='.', pos=None, mor=None, gra=None)], time_marks=(32789, 36368), tiers={'H3M': '散々 . \x1532789_36368\x15', '%ort': 'sanzan .'})",不明,0.5085087418556213,不明,0.4883131682872772,不明,0.40021538734436035
L3F,"Utterance(participant='L3F', tokens=[Token(word='じゃ先に教えて', pos=None, mor=None, gra=None), Token(word='!', pos=None, mor=None, gra=None)], time_marks=(36367, 37791), tiers={'L3F': 'じゃ先に教えて ! \x1536367_37791\x15', '%ort': 'ja: saki ni oshiete !'})",不明,0.533150851726532,不明,0.4933384954929352,不明,0.5331326723098755
G3M,"Utterance(participant='G3M', tokens=[Token(word='何って言ってた', pos=None, mor=None, gra=None), Token(word='?', pos=None, mor=None, gra=None)], time_marks=(37791, 38953), tiers={'G3M': '何って言ってた ? \x1537791_38953\x15', '%ort': 'nan tte yuttotta [: itteta] ?'})",不明,0.5105862617492676,不明,0.5240437388420105,不明,0.48505038022994995
